u	v	x_coord	y_coord	group	intercept	beta_feat1	beta_feat2
46	0	1.489564	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
47	0	1.558846	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
48	0	1.628128	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
49	0	1.69741	-1.69741	2	5.97453370774978	2.93542990230951	-2.91696504609036
0	1	-1.69741	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
1	1	-1.628128	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
2	1	-1.558846	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
3	1	-1.489564	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
4	1	-1.420282	-1.628128	4	6.00360467787003	3.62284829629826	-3.76606279507489
5	1	-1.351	-1.628128	4	6.00360467787003	3.62284829629826	-3.76606279507489
6	1	-1.281718	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
7	1	-1.212436	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
8	1	-1.143154	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
9	1	-1.073872	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
10	1	-1.004589	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
11	1	-0.935307	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
12	1	-0.866025	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
13	1	-0.796743	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
14	1	-0.727461	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
15	1	-0.658179	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
16	1	-0.588897	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
17	1	-0.519615	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
18	1	-0.450333	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
19	1	-0.381051	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
20	1	-0.311769	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
21	1	-0.242487	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
22	1	-0.173205	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
23	1	-0.103923	-1.628128	3	6.07041887619827	2.35231976297612	-2.35545006753042
24	1	-0.034641	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
25	1	0.034641	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
26	1	0.103923	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
27	1	0.173205	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
28	1	0.242487	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
29	1	0.311769	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
30	1	0.381051	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
31	1	0.450333	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
32	1	0.519615	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
33	1	0.588897	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
34	1	0.658179	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
35	1	0.727461	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
36	1	0.796743	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
37	1	0.866025	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
38	1	0.935307	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
39	1	1.004589	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
40	1	1.073872	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
41	1	1.143154	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
42	1	1.212436	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
43	1	1.281718	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
44	1	1.351	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
45	1	1.420282	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
46	1	1.489564	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
47	1	1.558846	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
48	1	1.628128	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
49	1	1.69741	-1.628128	2	5.97453370774978	2.93542990230951	-2.91696504609036
0	2	-1.69741	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
1	2	-1.628128	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
2	2	-1.558846	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
3	2	-1.489564	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
4	2	-1.420282	-1.558846	4	6.00360467787003	3.62284829629826	-3.76606279507489
5	2	-1.351	-1.558846	4	6.00360467787003	3.62284829629826	-3.76606279507489
6	2	-1.281718	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
7	2	-1.212436	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
8	2	-1.143154	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
9	2	-1.073872	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
10	2	-1.004589	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
11	2	-0.935307	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
12	2	-0.866025	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
13	2	-0.796743	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
14	2	-0.727461	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
15	2	-0.658179	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
16	2	-0.588897	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
17	2	-0.519615	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
18	2	-0.450333	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
19	2	-0.381051	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
20	2	-0.311769	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
21	2	-0.242487	-1.558846	4	6.00360467787003	3.62284829629826	-3.76606279507489
22	2	-0.173205	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
23	2	-0.103923	-1.558846	3	6.07041887619827	2.35231976297612	-2.35545006753042
24	2	-0.034641	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
25	2	0.034641	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
26	2	0.103923	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
27	2	0.173205	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
28	2	0.242487	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
29	2	0.311769	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
30	2	0.381051	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
31	2	0.450333	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
32	2	0.519615	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
33	2	0.588897	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
34	2	0.658179	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
35	2	0.727461	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
36	2	0.796743	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
37	2	0.866025	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
38	2	0.935307	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
39	2	1.004589	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
40	2	1.073872	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
41	2	1.143154	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
42	2	1.212436	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
43	2	1.281718	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
44	2	1.351	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
45	2	1.420282	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
46	2	1.489564	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
47	2	1.558846	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
48	2	1.628128	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
49	2	1.69741	-1.558846	2	5.97453370774978	2.93542990230951	-2.91696504609036
