u	v	x_coord	y_coord	group	intercept	beta_feat1	beta_feat2
0	0	0	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
1	0	0.204082	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
2	0	0.408163	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
3	0	0.612245	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
4	0	0.816327	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
5	0	1.020408	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
6	0	1.22449	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
7	0	1.428571	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
8	0	1.632653	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
9	0	1.836735	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
10	0	2.040816	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
11	0	2.244898	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
12	0	2.44898	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
13	0	2.653061	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
14	0	2.857143	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
15	0	3.061224	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
16	0	3.265306	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
17	0	3.469388	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
18	0	3.673469	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
19	0	3.877551	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
20	0	4.081633	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
21	0	4.285714	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
22	0	4.489796	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
23	0	4.693878	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
24	0	4.897959	0	5	5.62059263943313	-1.79245807813742	0.396000964783962
25	0	5.102041	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
26	0	5.306122	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
27	0	5.510204	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
28	0	5.714286	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
29	0	5.918367	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
30	0	6.122449	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
31	0	6.326531	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
32	0	6.530612	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
33	0	6.734694	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
34	0	6.938776	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
35	0	7.142857	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
36	0	7.346939	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
37	0	7.55102	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
38	0	7.755102	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
39	0	7.959184	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
40	0	8.163265	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
41	0	8.367347	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
42	0	8.571429	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
43	0	8.77551	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
44	0	8.979592	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
45	0	9.183673	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
46	0	9.387755	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
47	0	9.591837	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
48	0	9.795918	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
49	0	10	0	2	5.27994455896855	-0.984156792258994	0.125382400317675
0	1	0	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
1	1	0.204082	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
2	1	0.408163	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
3	1	0.612245	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
4	1	0.816327	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
5	1	1.020408	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
6	1	1.22449	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
7	1	1.428571	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
8	1	1.632653	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
9	1	1.836735	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
10	1	2.040816	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
11	1	2.244898	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
12	1	2.44898	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
13	1	2.653061	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
14	1	2.857143	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
15	1	3.061224	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
16	1	3.265306	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
17	1	3.469388	0.204082	5	5.62059263943313	-1.79245807813742	0.396000964783962
