u	v	x_coord	y_coord	group	intercept	beta_feat1	beta_feat2
6	2	1.22449	0.408163	2	4.9180583240761	0.66434046506864	-2.85654705279606
7	2	1.428571	0.408163	2	4.9180583240761	0.66434046506864	-2.85654705279606
8	2	1.632653	0.408163	2	4.9180583240761	0.66434046506864	-2.85654705279606
9	2	1.836735	0.408163	2	4.9180583240761	0.66434046506864	-2.85654705279606
10	2	2.040816	0.408163	2	4.9180583240761	0.66434046506864	-2.85654705279606
11	2	2.244898	0.408163	3	4.78408937859929	0.66434046506864	-2.85654705279606
12	2	2.44898	0.408163	3	4.78408937859929	0.66434046506864	-2.85654705279606
13	2	2.653061	0.408163	3	4.78408937859929	0.66434046506864	-2.85654705279606
14	2	2.857143	0.408163	4	4.78408937859929	0.66434046506864	-2.47799505295686
15	2	3.061224	0.408163	4	4.78408937859929	0.66434046506864	-2.47799505295686
16	2	3.265306	0.408163	12	1.94913196442572	1.3822811627742	3.36202217616051
17	2	3.469388	0.408163	5	1.94913196442572	1.3822811627742	3.36202217616051
18	2	3.673469	0.408163	5	1.94913196442572	1.3822811627742	3.36202217616051
19	2	3.877551	0.408163	5	1.94913196442572	1.3822811627742	3.36202217616051
20	2	4.081633	0.408163	5	1.94913196442572	1.3822811627742	3.36202217616051
21	2	4.285714	0.408163	5	1.94913196442572	1.3822811627742	3.36202217616051
22	2	4.489796	0.408163	6	1.11629790683115	2.02010700875439	3.58812024999845
23	2	4.693878	0.408163	6	1.11629790683115	2.02010700875439	3.58812024999845
24	2	4.897959	0.408163	6	1.11629790683115	2.02010700875439	3.58812024999845
25	2	5.102041	0.408163	6	1.11629790683115	2.02010700875439	3.58812024999845
26	2	5.306122	0.408163	6	1.11629790683115	2.02010700875439	3.58812024999845
27	2	5.510204	0.408163	6	1.11629790683115	2.02010700875439	3.58812024999845
28	2	5.714286	0.408163	6	1.11629790683115	2.02010700875439	3.58812024999845
29	2	5.918367	0.408163	6	1.11629790683115	2.02010700875439	3.58812024999845
30	2	6.122449	0.408163	6	1.11629790683115	2.02010700875439	3.58812024999845
31	2	6.326531	0.408163	7	0.853510648382223	2.18586324982664	3.58812024999845
32	2	6.530612	0.408163	7	0.853510648382223	2.18586324982664	3.58812024999845
33	2	6.734694	0.408163	8	0.853510648382223	2.18586324982664	4.02350103453573
34	2	6.938776	0.408163	8	0.853510648382223	2.18586324982664	4.02350103453573
35	2	7.142857	0.408163	8	0.853510648382223	2.18586324982664	4.02350103453573
36	2	7.346939	0.408163	8	0.853510648382223	2.18586324982664	4.02350103453573
37	2	7.55102	0.408163	8	0.853510648382223	2.18586324982664	4.02350103453573
38	2	7.755102	0.408163	8	0.853510648382223	2.18586324982664	4.02350103453573
39	2	7.959184	0.408163	8	0.853510648382223	2.18586324982664	4.02350103453573
40	2	8.163265	0.408163	8	0.853510648382223	2.18586324982664	4.02350103453573
41	2	8.367347	0.408163	8	0.853510648382223	2.18586324982664	4.02350103453573
42	2	8.571429	0.408163	8	0.853510648382223	2.18586324982664	4.02350103453573
43	2	8.77551	0.408163	8	0.853510648382223	2.18586324982664	4.02350103453573
44	2	8.979592	0.408163	8	0.853510648382223	2.18586324982664	4.02350103453573
45	2	9.183673	0.408163	8	0.853510648382223	2.18586324982664	4.02350103453573
46	2	9.387755	0.408163	8	0.853510648382223	2.18586324982664	4.02350103453573
47	2	9.591837	0.408163	8	0.853510648382223	2.18586324982664	4.02350103453573
48	2	9.795918	0.408163	8	0.853510648382223	2.18586324982664	4.02350103453573
49	2	10	0.408163	8	0.853510648382223	2.18586324982664	4.02350103453573
0	3	0	0.612245	1	5.15076740456231	0.66434046506864	-2.85654705279606
1	3	0.204082	0.612245	1	5.15076740456231	0.66434046506864	-2.85654705279606
2	3	0.408163	0.612245	1	5.15076740456231	0.66434046506864	-2.85654705279606
3	3	0.612245	0.612245	1	5.15076740456231	0.66434046506864	-2.85654705279606
4	3	0.816327	0.612245	1	5.15076740456231	0.66434046506864	-2.85654705279606
5	3	1.020408	0.612245	1	5.15076740456231	0.66434046506864	-2.85654705279606
6	3	1.22449	0.612245	2	4.9180583240761	0.66434046506864	-2.85654705279606
7	3	1.428571	0.612245	2	4.9180583240761	0.66434046506864	-2.85654705279606
8	3	1.632653	0.612245	2	4.9180583240761	0.66434046506864	-2.85654705279606
9	3	1.836735	0.612245	2	4.9180583240761	0.66434046506864	-2.85654705279606
10	3	2.040816	0.612245	2	4.9180583240761	0.66434046506864	-2.85654705279606
11	3	2.244898	0.612245	3	4.78408937859929	0.66434046506864	-2.85654705279606
12	3	2.44898	0.612245	3	4.78408937859929	0.66434046506864	-2.85654705279606
13	3	2.653061	0.612245	3	4.78408937859929	0.66434046506864	-2.85654705279606
14	3	2.857143	0.612245	4	4.78408937859929	0.66434046506864	-2.47799505295686
15	3	3.061224	0.612245	4	4.78408937859929	0.66434046506864	-2.47799505295686
16	3	3.265306	0.612245	4	4.78408937859929	0.66434046506864	-2.47799505295686
17	3	3.469388	0.612245	5	1.94913196442572	1.3822811627742	3.36202217616051
18	3	3.673469	0.612245	5	1.94913196442572	1.3822811627742	3.36202217616051
19	3	3.877551	0.612245	5	1.94913196442572	1.3822811627742	3.36202217616051
20	3	4.081633	0.612245	5	1.94913196442572	1.3822811627742	3.36202217616051
21	3	4.285714	0.612245	5	1.94913196442572	1.3822811627742	3.36202217616051
22	3	4.489796	0.612245	6	1.11629790683115	2.02010700875439	3.58812024999845
23	3	4.693878	0.612245	6	1.11629790683115	2.02010700875439	3.58812024999845
24	3	4.897959	0.612245	6	1.11629790683115	2.02010700875439	3.58812024999845
25	3	5.102041	0.612245	6	1.11629790683115	2.02010700875439	3.58812024999845
26	3	5.306122	0.612245	6	1.11629790683115	2.02010700875439	3.58812024999845
27	3	5.510204	0.612245	6	1.11629790683115	2.02010700875439	3.58812024999845
28	3	5.714286	0.612245	6	1.11629790683115	2.02010700875439	3.58812024999845
29	3	5.918367	0.612245	6	1.11629790683115	2.02010700875439	3.58812024999845
30	3	6.122449	0.612245	6	1.11629790683115	2.02010700875439	3.58812024999845
31	3	6.326531	0.612245	7	0.853510648382223	2.18586324982664	3.58812024999845
32	3	6.530612	0.612245	7	0.853510648382223	2.18586324982664	3.58812024999845
33	3	6.734694	0.612245	8	0.853510648382223	2.18586324982664	4.02350103453573
34	3	6.938776	0.612245	8	0.853510648382223	2.18586324982664	4.02350103453573
35	3	7.142857	0.612245	8	0.853510648382223	2.18586324982664	4.02350103453573
36	3	7.346939	0.612245	8	0.853510648382223	2.18586324982664	4.02350103453573
37	3	7.55102	0.612245	8	0.853510648382223	2.18586324982664	4.02350103453573
38	3	7.755102	0.612245	8	0.853510648382223	2.18586324982664	4.02350103453573
39	3	7.959184	0.612245	8	0.853510648382223	2.18586324982664	4.02350103453573
40	3	8.163265	0.612245	8	0.853510648382223	2.18586324982664	4.02350103453573
41	3	8.367347	0.612245	8	0.853510648382223	2.18586324982664	4.02350103453573
42	3	8.571429	0.612245	8	0.853510648382223	2.18586324982664	4.02350103453573
43	3	8.77551	0.612245	8	0.853510648382223	2.18586324982664	4.02350103453573
44	3	8.979592	0.612245	8	0.853510648382223	2.18586324982664	4.02350103453573
45	3	9.183673	0.612245	8	0.853510648382223	2.18586324982664	4.02350103453573
46	3	9.387755	0.612245	8	0.853510648382223	2.18586324982664	4.02350103453573
47	3	9.591837	0.612245	8	0.853510648382223	2.18586324982664	4.02350103453573
48	3	9.795918	0.612245	8	0.853510648382223	2.18586324982664	4.02350103453573
49	3	10	0.612245	8	0.853510648382223	2.18586324982664	4.02350103453573
0	4	0	0.816327	1	5.15076740456231	0.66434046506864	-2.85654705279606
1	4	0.204082	0.816327	1	5.15076740456231	0.66434046506864	-2.85654705279606
2	4	0.408163	0.816327	1	5.15076740456231	0.66434046506864	-2.85654705279606
3	4	0.612245	0.816327	1	5.15076740456231	0.66434046506864	-2.85654705279606
4	4	0.816327	0.816327	13	5.05186870290667	0.66434046506864	-2.85654705279606
5	4	1.020408	0.816327	13	5.05186870290667	0.66434046506864	-2.85654705279606
6	4	1.22449	0.816327	14	5.05186870290667	0.66434046506864	-2.85654705279606
7	4	1.428571	0.816327	14	5.05186870290667	0.66434046506864	-2.85654705279606
8	4	1.632653	0.816327	14	5.05186870290667	0.66434046506864	-2.85654705279606
9	4	1.836735	0.816327	15	4.78408937859929	0.66434046506864	-2.85654705279606
10	4	2.040816	0.816327	15	4.78408937859929	0.66434046506864	-2.85654705279606
11	4	2.244898	0.816327	3	4.78408937859929	0.66434046506864	-2.85654705279606
12	4	2.44898	0.816327	3	4.78408937859929	0.66434046506864	-2.85654705279606
13	4	2.653061	0.816327	3	4.78408937859929	0.66434046506864	-2.85654705279606
14	4	2.857143	0.816327	4	4.78408937859929	0.66434046506864	-2.47799505295686
15	4	3.061224	0.816327	4	4.78408937859929	0.66434046506864	-2.47799505295686
16	4	3.265306	0.816327	4	4.78408937859929	0.66434046506864	-2.47799505295686
17	4	3.469388	0.816327	5	1.94913196442572	1.3822811627742	3.36202217616051
18	4	3.673469	0.816327	5	1.94913196442572	1.3822811627742	3.36202217616051
19	4	3.877551	0.816327	5	1.94913196442572	1.3822811627742	3.36202217616051
20	4	4.081633	0.816327	5	1.94913196442572	1.3822811627742	3.36202217616051
21	4	4.285714	0.816327	5	1.94913196442572	1.3822811627742	3.36202217616051
22	4	4.489796	0.816327	6	1.11629790683115	2.02010700875439	3.58812024999845
23	4	4.693878	0.816327	6	1.11629790683115	2.02010700875439	3.58812024999845
