u	v	x_coord	y_coord	group	intercept	beta_feat1	beta_feat2
29	0	0.311769	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
30	0	0.381051	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
31	0	0.450333	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
32	0	0.519615	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
33	0	0.588897	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
34	0	0.658179	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
35	0	0.727461	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
36	0	0.796743	-1.69741	3	6.02704972145802	2.79680549421221	-2.85518891355492
37	0	0.866025	-1.69741	4	5.94828816987671	2.73160956307028	-2.7679835785093
38	0	0.935307	-1.69741	4	5.94828816987671	2.73160956307028	-2.7679835785093
39	0	1.004589	-1.69741	4	5.94828816987671	2.73160956307028	-2.7679835785093
40	0	1.073872	-1.69741	4	5.94828816987671	2.73160956307028	-2.7679835785093
41	0	1.143154	-1.69741	4	5.94828816987671	2.73160956307028	-2.7679835785093
42	0	1.212436	-1.69741	4	5.94828816987671	2.73160956307028	-2.7679835785093
43	0	1.281718	-1.69741	4	5.94828816987671	2.73160956307028	-2.7679835785093
44	0	1.351	-1.69741	4	5.94828816987671	2.73160956307028	-2.7679835785093
45	0	1.420282	-1.69741	4	5.94828816987671	2.73160956307028	-2.7679835785093
46	0	1.489564	-1.69741	4	5.94828816987671	2.73160956307028	-2.7679835785093
47	0	1.558846	-1.69741	4	5.94828816987671	2.73160956307028	-2.7679835785093
48	0	1.628128	-1.69741	4	5.94828816987671	2.73160956307028	-2.7679835785093
49	0	1.69741	-1.69741	4	5.94828816987671	2.73160956307028	-2.7679835785093
0	1	-1.69741	-1.628128	1	6.09910689941107	3.00716505376489	-2.85518891355492
1	1	-1.628128	-1.628128	1	6.09910689941107	3.00716505376489	-2.85518891355492
2	1	-1.558846	-1.628128	1	6.09910689941107	3.00716505376489	-2.85518891355492
3	1	-1.489564	-1.628128	1	6.09910689941107	3.00716505376489	-2.85518891355492
4	1	-1.420282	-1.628128	1	6.09910689941107	3.00716505376489	-2.85518891355492
5	1	-1.351	-1.628128	1	6.09910689941107	3.00716505376489	-2.85518891355492
6	1	-1.281718	-1.628128	5	6.09910689941107	3.00716505376489	-2.85518891355492
7	1	-1.212436	-1.628128	5	6.09910689941107	3.00716505376489	-2.85518891355492
8	1	-1.143154	-1.628128	2	6.02704972145802	3.00716505376489	-2.85518891355492
9	1	-1.073872	-1.628128	2	6.02704972145802	3.00716505376489	-2.85518891355492
10	1	-1.004589	-1.628128	2	6.02704972145802	3.00716505376489	-2.85518891355492
11	1	-0.935307	-1.628128	2	6.02704972145802	3.00716505376489	-2.85518891355492
12	1	-0.866025	-1.628128	2	6.02704972145802	3.00716505376489	-2.85518891355492
13	1	-0.796743	-1.628128	2	6.02704972145802	3.00716505376489	-2.85518891355492
14	1	-0.727461	-1.628128	2	6.02704972145802	3.00716505376489	-2.85518891355492
15	1	-0.658179	-1.628128	2	6.02704972145802	3.00716505376489	-2.85518891355492
16	1	-0.588897	-1.628128	2	6.02704972145802	3.00716505376489	-2.85518891355492
17	1	-0.519615	-1.628128	2	6.02704972145802	3.00716505376489	-2.85518891355492
18	1	-0.450333	-1.628128	6	6.02704972145802	3.00716505376489	-2.85518891355492
19	1	-0.381051	-1.628128	6	6.02704972145802	3.00716505376489	-2.85518891355492
20	1	-0.311769	-1.628128	6	6.02704972145802	3.00716505376489	-2.85518891355492
21	1	-0.242487	-1.628128	6	6.02704972145802	3.00716505376489	-2.85518891355492
22	1	-0.173205	-1.628128	6	6.02704972145802	3.00716505376489	-2.85518891355492
23	1	-0.103923	-1.628128	6	6.02704972145802	3.00716505376489	-2.85518891355492
24	1	-0.034641	-1.628128	6	6.02704972145802	3.00716505376489	-2.85518891355492
25	1	0.034641	-1.628128	6	6.02704972145802	3.00716505376489	-2.85518891355492
