u	v	x_coord	y_coord	group	intercept	beta_feat1	beta_feat2
4	1	0.816327	0.204082	2	5.08535331176001	0.575952362819591	-2.98366224623026
5	1	1.020408	0.204082	2	5.08535331176001	0.575952362819591	-2.98366224623026
6	1	1.22449	0.204082	3	4.96638243794087	0.575952362819591	-2.98366224623026
7	1	1.428571	0.204082	3	4.96638243794087	0.575952362819591	-2.98366224623026
8	1	1.632653	0.204082	3	4.96638243794087	0.575952362819591	-2.98366224623026
9	1	1.836735	0.204082	3	4.96638243794087	0.575952362819591	-2.98366224623026
10	1	2.040816	0.204082	3	4.96638243794087	0.575952362819591	-2.98366224623026
11	1	2.244898	0.204082	4	4.72808781280169	0.598289449045608	-2.98366224623026
12	1	2.44898	0.204082	4	4.72808781280169	0.598289449045608	-2.98366224623026
13	1	2.653061	0.204082	12	4.72808781280169	0.598289449045608	-2.98346939763212
14	1	2.857143	0.204082	5	4.72808781280169	0.724946998958368	-2.98346939763212
15	1	3.061224	0.204082	13	4.14896104859047	1.89232367955522	-0.347956784938639
16	1	3.265306	0.204082	14	1.17021948132535	1.89232367955522	3.33653026805245
17	1	3.469388	0.204082	7	1.16886980441113	1.89232367955522	4.03892180039256
18	1	3.673469	0.204082	7	1.16886980441113	1.89232367955522	4.03892180039256
19	1	3.877551	0.204082	7	1.16886980441113	1.89232367955522	4.03892180039256
20	1	4.081633	0.204082	7	1.16886980441113	1.89232367955522	4.03892180039256
21	1	4.285714	0.204082	7	1.16886980441113	1.89232367955522	4.03892180039256
22	1	4.489796	0.204082	8	1.04687088788135	2.01653901148507	3.98845406782205
23	1	4.693878	0.204082	8	1.04687088788135	2.01653901148507	3.98845406782205
24	1	4.897959	0.204082	8	1.04687088788135	2.01653901148507	3.98845406782205
25	1	5.102041	0.204082	8	1.04687088788135	2.01653901148507	3.98845406782205
26	1	5.306122	0.204082	8	1.04687088788135	2.01653901148507	3.98845406782205
27	1	5.510204	0.204082	8	1.04687088788135	2.01653901148507	3.98845406782205
28	1	5.714286	0.204082	8	1.04687088788135	2.01653901148507	3.98845406782205
29	1	5.918367	0.204082	8	1.04687088788135	2.01653901148507	3.98845406782205
30	1	6.122449	0.204082	8	1.04687088788135	2.01653901148507	3.98845406782205
31	1	6.326531	0.204082	9	0.995828940487909	1.88883299829955	3.92814668668877
32	1	6.530612	0.204082	9	0.995828940487909	1.88883299829955	3.92814668668877
33	1	6.734694	0.204082	10	0.981465344302646	2.1047775588489	4.05499465873553
34	1	6.938776	0.204082	10	0.981465344302646	2.1047775588489	4.05499465873553
35	1	7.142857	0.204082	10	0.981465344302646	2.1047775588489	4.05499465873553
36	1	7.346939	0.204082	10	0.981465344302646	2.1047775588489	4.05499465873553
37	1	7.55102	0.204082	10	0.981465344302646	2.1047775588489	4.05499465873553
38	1	7.755102	0.204082	10	0.981465344302646	2.1047775588489	4.05499465873553
39	1	7.959184	0.204082	10	0.981465344302646	2.1047775588489	4.05499465873553
40	1	8.163265	0.204082	10	0.981465344302646	2.1047775588489	4.05499465873553
41	1	8.367347	0.204082	10	0.981465344302646	2.1047775588489	4.05499465873553
