n_regions	BIC	R2	MSE
2	7852.35582111273	0.143889451196889	22.6954534985312
3	6026.45674505171	0.591434996897085	10.8310405029035
4	6424.40496885722	0.525414656242161	12.5812368687652
5	6229.05190138821	0.565189032107664	11.5268198905482
6	6064.15685452401	0.596746859029866	10.6902232682676
7	5900.09492822873	0.625889622685575	9.91764986838186
8	5884.7378014872	0.631655303706766	9.76480191470725
9	5516.24627813107	0.685106744515699	8.34780653834539
10	5794.91145011537	0.651265487517203	9.24493679286096
11	5486.08662725104	0.694670311368236	8.09427679608803
12	5336.65707522304	0.715073439925016	7.5533907434254
13	5207.2975462777	0.731970031686683	7.10546282903783
14	1	0.816762638251809	4.85761450850434
15	4761.61252185378	0.779907684086026	5.8346377441477
